configuration,epsilon_multiplier,K,delay_cap_days,alpha,q3_captured_mean_burden_share_pct,q3_captured_tail_burden_share_pct,q3_mean_burden_regret_pp,selected_transitions
cap120_alpha90_step24,0.0,10,120,0.9,88.45457248439482,85.1617890788623,-1.733960424839307e-14,Record Invoice Receipt -> Clear Invoice || Record Goods Receipt -> Record Invoice Receipt || Create Purchase Order Item -> Vendor creates invoice || Vendor creates invoice -> Record Invoice Receipt || Remove Payment Block -> Clear Invoice || Create Purchase Order Item -> Record Goods Receipt || Record Invoice Receipt -> Remove Payment Block || Record Goods Receipt -> Vendor creates invoice || Vendor creates invoice -> Record Goods Receipt || Create Purchase Order Item -> Change Quantity
cap120_alpha90_step24,0.5,3,120,0.9,54.886177572223545,47.687504926397125,3.5506489365844316,Record Invoice Receipt -> Clear Invoice || Record Goods Receipt -> Record Invoice Receipt || Vendor creates invoice -> Record Invoice Receipt
cap120_alpha90_step24,0.5,5,120,0.9,70.831308750334,64.5337296745538,1.1847582046893335,Record Invoice Receipt -> Clear Invoice || Record Goods Receipt -> Record Invoice Receipt || Vendor creates invoice -> Record Invoice Receipt || Create Purchase Order Item -> Vendor creates invoice || Remove Payment Block -> Clear Invoice
cap120_alpha90_step24,0.5,10,120,0.9,88.45457248439482,85.1617890788623,-1.733960424839307e-14,Record Invoice Receipt -> Clear Invoice || Record Goods Receipt -> Record Invoice Receipt || Vendor creates invoice -> Record Invoice Receipt || Create Purchase Order Item -> Vendor creates invoice || Remove Payment Block -> Clear Invoice || Create Purchase Order Item -> Record Goods Receipt || Record Invoice Receipt -> Remove Payment Block || Record Goods Receipt -> Vendor creates invoice || Vendor creates invoice -> Record Goods Receipt || Create Purchase Order Item -> Change Quantity
cap120_alpha90_step24,1.0,3,120,0.9,54.886177572223545,47.687504926397125,3.5506489365844316,Record Invoice Receipt -> Clear Invoice || Record Goods Receipt -> Record Invoice Receipt || Vendor creates invoice -> Record Invoice Receipt
cap120_alpha90_step24,1.0,5,120,0.9,70.831308750334,64.5337296745538,1.1847582046893335,Record Invoice Receipt -> Clear Invoice || Record Goods Receipt -> Record Invoice Receipt || Vendor creates invoice -> Record Invoice Receipt || Create Purchase Order Item -> Vendor creates invoice || Remove Payment Block -> Clear Invoice
cap120_alpha90_step24,1.0,10,120,0.9,88.45457248439482,85.1617890788623,-1.733960424839307e-14,Record Invoice Receipt -> Clear Invoice || Record Goods Receipt -> Record Invoice Receipt || Vendor creates invoice -> Record Invoice Receipt || Create Purchase Order Item -> Vendor creates invoice || Remove Payment Block -> Clear Invoice || Create Purchase Order Item -> Record Goods Receipt || Record Invoice Receipt -> Remove Payment Block || Record Goods Receipt -> Vendor creates invoice || Vendor creates invoice -> Record Goods Receipt || Create Purchase Order Item -> Change Quantity
cap120_alpha90_step24,1.5,3,120,0.9,54.030910341616305,46.89157312666679,4.405916167191669,Record Invoice Receipt -> Clear Invoice || Record Goods Receipt -> Record Invoice Receipt || Create Purchase Order Item -> Vendor creates invoice
cap120_alpha90_step24,1.5,5,120,0.9,66.65618053485653,61.51211375277517,5.359886420166792,Record Invoice Receipt -> Clear Invoice || Record Goods Receipt -> Record Invoice Receipt || Create Purchase Order Item -> Vendor creates invoice || Vendor creates invoice -> Record Invoice Receipt || Create Purchase Order Item -> Record Goods Receipt
cap120_alpha90_step24,1.5,10,120,0.9,88.45457248439482,85.1617890788623,-1.733960424839307e-14,Record Invoice Receipt -> Clear Invoice || Record Goods Receipt -> Record Invoice Receipt || Create Purchase Order Item -> Vendor creates invoice || Vendor creates invoice -> Record Invoice Receipt || Create Purchase Order Item -> Record Goods Receipt || Remove Payment Block -> Clear Invoice || Record Invoice Receipt -> Remove Payment Block || Record Goods Receipt -> Vendor creates invoice || Vendor creates invoice -> Record Goods Receipt || Create Purchase Order Item -> Change Quantity
cap120_alpha90_step24,2.0,3,120,0.9,54.030910341616305,46.89157312666679,4.405916167191669,Record Invoice Receipt -> Clear Invoice || Record Goods Receipt -> Record Invoice Receipt || Create Purchase Order Item -> Vendor creates invoice
