comparison,metric,DRO_mean_share_pct,baseline_mean_share_pct,difference_mean_pp,difference_median_pp,ci95_low_pp,ci95_high_pp,ci_includes_zero,replicates,weekly_blocks,seed
DRO minus Frequency,Q3 captured mean-burden share,66.99164163338843,55.57299485081639,11.418646782572013,11.388888596856301,7.905697108687037,14.761128076404399,False,1000,14,20260914
DRO minus Mean burden,Q3 captured mean-burden share,66.99164163338843,70.21092830966325,-3.2192866762748453,-3.198697437523607,-6.441218047987034,-0.2325072632563933,False,1000,14,20260914
DRO minus Tail baseline,Q3 captured mean-burden share,66.99164163338843,66.96460014612775,0.02704148726066161,0.08713809694258501,-3.6809935116119235,3.8052839064341493,True,1000,14,20260914
