method,K,rank,transition,score,h1_frequency_share,h1_mean_capped_elapsed_hours,h1_empirical_cvar95_hours,h1_dro_worst_case_cvar95_hours
Tail baseline,10,10,Create Purchase Order Item -> Change Quantity,15.334979825519916,0.0091963499523359,313.8652521423863,1667.5072072072066,2160.0
DRO,3,1,Record Invoice Receipt -> Clear Invoice,218.91774662146287,0.1013508086210476,1156.6791406226637,2160.0,2160.0
DRO,3,2,Create Purchase Order Item -> Vendor creates invoice,196.3398284701899,0.090898068736199,304.07566456030366,1608.045763098076,2160.0
DRO,3,3,Record Goods Receipt -> Record Invoice Receipt,188.8531387772856,0.0874320086931877,476.8193057722309,2160.0,2160.0
DRO,5,1,Record Invoice Receipt -> Clear Invoice,218.91774662146287,0.1013508086210476,1156.6791406226637,2160.0,2160.0
DRO,5,2,Create Purchase Order Item -> Vendor creates invoice,196.3398284701899,0.090898068736199,304.07566456030366,1608.045763098076,2160.0
DRO,5,3,Record Goods Receipt -> Record Invoice Receipt,188.8531387772856,0.0874320086931877,476.8193057722309,2160.0,2160.0
DRO,5,4,Vendor creates invoice -> Record Invoice Receipt,161.15533314035346,0.0746089505279414,283.08027517655586,1827.8212127675415,2160.0
DRO,5,5,Create Purchase Order Item -> Record Goods Receipt,132.22854472191278,0.0617934701065582,363.9011110293577,1425.166770493545,2139.846564594843
DRO,10,1,Record Invoice Receipt -> Clear Invoice,218.91774662146287,0.1013508086210476,1156.6791406226637,2160.0,2160.0
DRO,10,2,Create Purchase Order Item -> Vendor creates invoice,196.3398284701899,0.090898068736199,304.07566456030366,1608.045763098076,2160.0
DRO,10,3,Record Goods Receipt -> Record Invoice Receipt,188.8531387772856,0.0874320086931877,476.8193057722309,2160.0,2160.0
DRO,10,4,Vendor creates invoice -> Record Invoice Receipt,161.15533314035346,0.0746089505279414,283.08027517655586,1827.8212127675415,2160.0
DRO,10,5,Create Purchase Order Item -> Record Goods Receipt,132.22854472191278,0.0617934701065582,363.9011110293577,1425.166770493545,2139.846564594843
DRO,10,6,Record Goods Receipt -> Vendor creates invoice,74.5013723101676,0.0600248246888957,78.41596138632192,579.553551650423,1241.1760083649183
DRO,10,7,Remove Payment Block -> Clear Invoice,72.43134942947167,0.0335330321432739,1099.2185468076775,2160.0,2160.0
DRO,10,8,Record Invoice Receipt -> Remove Payment Block,45.057628742079366,0.0208600133065182,411.5866656979561,2145.654320449482,2160.0
DRO,10,9,Vendor creates invoice -> Record Goods Receipt,43.82160581075082,0.0859528330910981,58.72470289522869,306.31162558333614,509.8331751823232
DRO,10,10,Record Goods Receipt -> Remove Payment Block,24.152671140867614,0.0145265349856856,62.88535037384802,910.9240653799334,1662.6587940391505
