K,tail_vs_dro_jaccard,overlap_count,dro_saturated_count,dro_unsaturated_count,tail_saturated_count,tail_unsaturated_count,tail_top_transitions,dro_top_transitions
3,1.0,3,3,0,3,0,Record Invoice Receipt -> Clear Invoice || Record Goods Receipt -> Record Invoice Receipt || Create Purchase Order Item -> Vendor creates invoice,Record Invoice Receipt -> Clear Invoice || Create Purchase Order Item -> Vendor creates invoice || Record Goods Receipt -> Record Invoice Receipt
5,1.0,5,4,1,4,1,Record Invoice Receipt -> Clear Invoice || Record Goods Receipt -> Record Invoice Receipt || Create Purchase Order Item -> Vendor creates invoice || Vendor creates invoice -> Record Invoice Receipt || Create Purchase Order Item -> Record Goods Receipt,Record Invoice Receipt -> Clear Invoice || Create Purchase Order Item -> Vendor creates invoice || Record Goods Receipt -> Record Invoice Receipt || Vendor creates invoice -> Record Invoice Receipt || Create Purchase Order Item -> Record Goods Receipt
10,0.8181818181818182,9,6,4,7,3,Record Invoice Receipt -> Clear Invoice || Record Goods Receipt -> Record Invoice Receipt || Create Purchase Order Item -> Vendor creates invoice || Vendor creates invoice -> Record Invoice Receipt || Create Purchase Order Item -> Record Goods Receipt || Remove Payment Block -> Clear Invoice || Record Invoice Receipt -> Remove Payment Block || Record Goods Receipt -> Vendor creates invoice || Vendor creates invoice -> Record Goods Receipt || Create Purchase Order Item -> Change Quantity,Record Invoice Receipt -> Clear Invoice || Create Purchase Order Item -> Vendor creates invoice || Record Goods Receipt -> Record Invoice Receipt || Vendor creates invoice -> Record Invoice Receipt || Create Purchase Order Item -> Record Goods Receipt || Record Goods Receipt -> Vendor creates invoice || Remove Payment Block -> Clear Invoice || Record Invoice Receipt -> Remove Payment Block || Vendor creates invoice -> Record Goods Receipt || Record Goods Receipt -> Remove Payment Block
