diagnostic,k,metric_1,metric_2,correlation_method,correlation_coefficient,tail_top_size,dro_top_size,overlap_count,overlap_fraction,jaccard,dro_portfolio_saturated_count,dro_portfolio_unsaturated_count,tail_portfolio_saturated_count,tail_portfolio_unsaturated_count
rank_correlation,,Tail score,DRO score,Spearman,0.9641284129107152,,,,,,,,,
rank_correlation,,Tail score,DRO score,Kendall,0.8634384090730585,,,,,,,,,
rank_correlation,,Mean burden,DRO score,Spearman,0.9163396340293859,,,,,,,,,
rank_correlation,,Mean burden,DRO score,Kendall,0.7701768123660575,,,,,,,,,
top_k_portfolio,3.0,Tail score,DRO score,,,3.0,3.0,3.0,1.0,1.0,3.0,0.0,3.0,0.0
top_k_portfolio,5.0,Tail score,DRO score,,,5.0,5.0,5.0,1.0,1.0,4.0,1.0,4.0,1.0
top_k_portfolio,10.0,Tail score,DRO score,,,10.0,10.0,9.0,0.9,0.8181818181818182,6.0,4.0,7.0,3.0
